id,endereco_tse,cep,bairro,nome_municipio,uf,municipio_id
22-0023,"CPA - CENTRO POLÍTICO ADMINISTRATIVO - AV. FARQUAR,2986",76801470,PEDRINHAS,PORTO VELHO,RO,1100205
22-0024,"FÓRUM ELEITORAL - AV. FARQUAR, 2986 - CPA - TÉRREO",76801470,PEDRINHAS,PORTO VELHO,RO,1100205
22-0014,"AV. MACAPÁ, 1.763",76916000,ERNANDES GONÇALVES,PRESIDENTE MÉDICI,RO,1100254
22-0015,AV. SÃO LUIZ N. 4557,76940000,BAIRRO CENTRO,ROLIM DE MOURA,RO,1100288
22-0029,AV. SÃO LUIZ 4557,76940000,BAIRRO CENTRO,ROLIM DE MOURA,RO,1100288
22-0019,"RUA D. PEDRO I, 2349",76950000,CENTRO,SANTA LUZIA DO OESTE,RO,1100296
22-0004,"RUA 545, N. 495",76980000,JARDIM AMÉRICA,VILHENA,RO,1100304
22-0035,"AVENIDA CACOAL, N. 965",76932000,CRISTO REI,SÃO MIGUEL DO GUAPORÉ,RO,1100320
22-0018,"RUA MONTEIRO LOBATO, 4283",76930000,CENTRO,ALVORADA DO OESTE,RO,1100346
22-0034,"RUA BARRETOS, 1690",76880000,SETOR 03,BURITIS,RO,1100452
01-0006,"AV.  RUI LINO,  N. 1128 - CENTRO",69932000,CENTRO,BRASILÉIA,AC,1200104
01-0004,"AVENIDA 25 DE AGOSTO, N 4661, BAIRRO AEROPORTO VELHO",69980000,CENTRO,CRUZEIRO DO SUL,AC,1200203
01-0007,"RUA CORNELIO DE OLIVEIRA LIMA, 81",69960000,CIDADE NOVA,FEIJÓ,AC,1200302
01-0001,"FÓRUM ELEITORAL, BR 364, KM 02, ALAMEDA MIN. MIGUEL FERRANTE, S/N",69915632,PORTAL DA AMAZONIA,RIO BRANCO,AC,1200401
01-0009,CENTRAL DE ATENDIMENTO AO ELEITOR BR 364 KM 02,69914220,DISTRITO INDUSTRIAL,RIO BRANCO,AC,1200401
01-0010,"CENTRAL DE ATENDIMENTO AO ELEITOR, AV. 02, S/N, BR 364, KM 02",69914220,DISTRITO INDUSTRIAL,RIO BRANCO,AC,1200401
01-0008,"RUA 03 DE MAIO, 1.397",69925000,CENTRO,SENADOR GUIOMARD,AC,1200450
01-0003,"RUA CUNHA VASCONCELOS, 659",69940000,CENTRO,SENA MADUREIRA,AC,1200500
01-0005,"RUA FLORIANO PEIXOTO, 160",69970000,CENTRO,TARAUACÁ,AC,1200609
01-0002,"RUA CORONEL BRANDÃO, 1972",69930000,AEROPORTO,XAPURI,AC,1200708
04-0060,"RUA 15 DE NOVEMBRO, N. 25",69540000,CENTRO,ALVARÃES,AM,1300029
04-0053,RUA IRACEMA MOISÉS DAS CHAGAS,69445000,CENTRO,ANAMÃ,AM,1300086
04-0033,"AV. 31 DE MARÇO, 344",69440000,CENTRO,ANORI,AM,1300102
04-0067,AV 13 DE NOVEMBRO S/N PRACA DOS TRES PODERES,69265000,CENTRO,APUÍ,AM,1300144
04-0042,"ESTRADA PEDRO TEIXEIRA, 1170",69650000,CENTRO,ATALAIA DO NORTE,AM,1300201
04-0035,"RUA FRANCISCO BARRONCAS, S/N",69240000,SANTA LUZIA,AUTAZES,AM,1300300
04-0018,"RUA PADRE BAUZOLA, 92 SÃO SEBASTIÃO",69700000,CENTRO,BARCELOS,AM,1300409
04-0026,PRACA CRISTO REDENTOR S/N,69160000,CENTRO,BARREIRINHA,AM,1300508
04-0020,AVENIDA CASTELO BRANCO S/N,69630000,CENTRO,BENJAMIN CONSTANT,AM,1300607
04-0054,"AV AMAZONAS, SNR",69430000,SAO FRANCISCO,BERURI,AM,1300631
04-0064,"RUA EMANUEL MAFRA, 685",69195000,CENTRO,BOA VISTA DO RAMOS,AM,1300680
04-0014,RUA CECILIA LEITE 89,69850000,CENTRO,BOCA DO ACRE,AM,1300706
04-0015,"AV TREZE DE MAIO, S/N - CENTRO",69200000,CENTRO,BORBA,AM,1300805
04-0055,"RUA COUTO VALE, 465",69425000,CENTRO,CAAPIRANGA,AM,1300839
04-0013,RUA FLORIANO PEIXOTO 242,69820000,CENTRO,CANUTAMA,AM,1300904
04-0021,"RUA ANASTACIO CAVALCANTE, 508",69500000,CENTRO,CARAUARI,AM,1301001
04-0023,"RUA MANAQUIRI, 125 PCA TRES PODERES",69250000,CENTRO,CAREIRO,AM,1301100
04-0061,RUA WALMIR BEZERRA S/N,69255000,CENTRO - VILA,CAREIRO DA VÁRZEA,AM,1301159
04-0008,"RUA PADRE VICENTE NOGUEIRA, 159",69460000,ITAMARATI,COARI,AM,1301209
04-0007,"RUA 15 DE NOVEMBRO, S/N",69450000,CENTRO,CODAJÁS,AM,1301308
04-0011,"AV. PREFEITO JOAO CAVALCANTE, N. 1500",69880000,NOSSA SRA DE FATIMA,EIRUNEPÉ,AM,1301407
04-0046,RUA WALTER LINS S/N,69870000,RODOVIARIO,ENVIRA,AM,1301506
04-0010,"RUA BOULEVARD ALVARO MAIA, S/N, CENTRO",69670000,CENTRO,FONTE BOA,AM,1301605
04-0017,RUA DAS FLORES 1218,69800000,SAO JOSE,HUMAITÁ,AM,1301704
04-0045,"AV.VARCY HERCULANO, 182",69890000,CENTRO,IPIXUNA,AM,1301803
04-0056,"TRAVESSA MATRINCHÃ, S/N",69415000,CENTRO,IRANDUBA,AM,1301852
04-0003,"RUA TEREZINHA PEIXOTO, 3471",69100000,SÃO FRANCISCO,ITACOATIARA,AM,1301902
04-0069,RUA VITORIA REGIA S/N,69510000,CENTRO,ITAMARATI,AM,1301951
04-0024,"RUA MANUEL CIPRIANO VITAL, 442 - CENTRO",69120000,CENTRO,ITAPIRANGA,AM,1302009
04-0048,"AVENIDA JUSCELINO KUBITSCHEK, S/N  CENTRO",69495000,CENTRO,JAPURÁ,AM,1302108
04-0050,"RUA FRANCISCO DE PAULA, 94",69520000,CENTRO,JURUÁ,AM,1302207
04-0041,"RUA CÍCERO TUCHAUA, 320",69660000,SANTO ANTONIO,JUTAÍ,AM,1302306
04-0012,"RUA DR. JOÃO FÁBIO DE ANDRADE, 1884",69830000,CENTRO,LÁBREA,AM,1302405
04-0006,AV. EDUARDO RIBEIRO 1387,69400000,CENTRO,MANACAPURU,AM,1302504
04-0066,"RUA BARROSO, SN, OSMAR FREIRE",69435000,CENTRO,MANAQUIRI,AM,1302553
04-0001,"AV ANDRE ARAUJO, S/N, 1 ANDAR, PREDIO ANEXO DO TRE-AM",69060000,ALEIXO,MANAUS,AM,1302603
04-0002,AV. ANDRE ARAUJO S/N PREDIO ANEXO DO TRE-AM,69060000,ALEIXO,MANAUS,AM,1302603
04-0031,AV ANDRE ARAUJO SN ANEXO DO TRE 1 ANDAR,69060000,ALEIXO,MANAUS,AM,1302603
04-0032,AV ANDRE ARAUJO SN PREDIO ANEXO,69060000,ALEIXO,MANAUS,AM,1302603
04-0037,AV. ANDRE ARAUJO S/N FORUM ELEITORAL,69060000,ALEIXO,MANAUS,AM,1302603
04-0040,"AV ANDRE ARAUJO, S/N, ALEIXO ANEXO TRE/AM",69060000,ALEIXO,MANAUS,AM,1302603
04-0058,"AV. ANDRE ARAUJO, 200 (ANEXO) - ALEIXO",69060000,ALEIXO,MANAUS,AM,1302603
04-0059,"AV. ANDRÉ ARAÚJO, S/N, ANEXO DO TRE/AM",69060000,ALEIXO,MANAUS,AM,1302603
04-0062,AV. ANDRE ARAUJO 23,69060000,ALEIXO,MANAUS,AM,1302603
04-0063,AV. ANDRE ARAUJO 200 ANEXO,69060000,ALEIXO,MANAUS,AM,1302603
04-0065,"AV ANDRE ARAUJO SN, 1 ANDAR, FORUM ELEITORAL",69060000,ALEIXO,MANAUS,AM,1302603
04-0068,"AV. ANDRÉ ARAÚJO S/N, FÓRUM ELEITORAL",69060000,ALEIXO,MANAUS,AM,1302603
04-0070,"AV. ANDRÉ ARAUJO, ANEXO TRE-AM",69060000,ALEIXO,MANAUS,AM,1302603
04-0016,"RUA EDUARDO RIBEIRO, 168",69280000,CENTRO,MANICORÉ,AM,1302702
04-0049,AV CASTELO BRANCO 170,69490000,CENTRO,MARAÃ,AM,1302801
04-0005,"RUA GUARANÓPOLIS, 108",69190000,CENTRO,MAUÉS,AM,1302900
04-0043,"RUA FURTADO BELEM, 02",69140000,CENTRO,NHAMUNDÁ,AM,1303007
04-0028,"RUA TRIUNFO, 349",69230000,NOSSA SENHORA DE FÁTIMA,NOVA OLINDA DO NORTE,AM,1303106
04-0034,"RUA RUI BARBOSA, S/N",69730000,CENTRO,NOVO AIRÃO,AM,1303205
04-0029,"AV. 19 DE DEZEMBRO, 188",69260000,CENTRO,NOVO ARIPUANÃ,AM,1303304
04-0004,"AV AMAZONAS, 1985",69151000,CENTRO,PARINTINS,AM,1303403
04-0044,"RUA CASTELO BRANCO, N 247 - CENTRO",69860000,CENTRO,PAUINI,AM,1303502
04-0051,"PRAÇA CÍVICA, N. 76 - MORADA DO SOL - PRESIDENTE FIGUEIREDO",69735000,MORADA DO SOL,PRESIDENTE FIGUEIREDO,AM,1303536
04-0052,RUA GOVERNADOR DOMINGOS MONTEIRO NO. 7 - FORUM SENADOR JEFFERSON PERES,69117000,CENTRO,RIO PRETO DA EVA,AM,1303569
04-0030,"RUA BEIRA RIO, S/N",69740000,CENTRO,SANTA ISABEL DO RIO NEGRO,AM,1303601
04-0047,RUA SAO FRANCISCO S/N,69680000,SAO FRANCISCO,SANTO ANTÔNIO DO IÇÁ,AM,1303700
04-0019,RUA DOM PEDRO MASSA 310,69750000,CENTRO,SÃO GABRIEL DA CACHOEIRA,AM,1303809
04-0022,"AVENIDA GETÚLIO VARGAS, S/N",69600000,CENTRO,SÃO PAULO DE OLIVENÇA,AM,1303908
04-0057,"RUA FRANCSICO XAVIER, S/N",69135000,CENTRO,SÃO SEBASTIÃO DO UATUMÃ,AM,1303957
04-0039,"AV. GOVERNADOR EDUARDO BRAGA, S/N",69114000,PANORAMA,SILVES,AM,1304005
04-0036,"RUA RUI BARBOSA, S/N",69640000,RUI BARBOSA,TABATINGA,AM,1304062
04-0038,"AV. PRESIDENTE CASTELO BRANCO, 390",69480000,CENTRO,TAPAUÁ,AM,1304104
04-0009,"RUA DANIEL SEVALHO, 357 - CENTRO",69470000,CENTRO,TEFÉ,AM,1304203
04-0027,RUA CORONEL PINTO -  FORUM DE JUSTIÇA DE URUCARÁ,69130000,APARECIDA,URUCARÁ,AM,1304302
04-0025,AV. CASTELO BRANCO 45,69180000,CENTRO,URUCURITUBA,AM,1304401
23-0003,RUA ANTONIO DOURADO DE SANTANA,69350000,CENTRO,ALTO ALEGRE,RR,1400050
23-0001,"AV. SANTOS DUMONT, 760",69306040,SAO PEDRO,BOA VISTA,RR,1400100
23-0005,"AV. NAZARÉ FILGUEIRAS, 2077 - AO LADO DO 4 DP",69316715,PINTOLANDIA,BOA VISTA,RR,1400100
23-0002,"PRAÇA DO CENTRO CÍVICO, 100",69360000,CENTRO,CARACARAÍ,RR,1400209
23-0006,"AV. PADRE RICARDO SILVESTRE, 269",69300000,CENTRO,MUCAJAÍ,RR,1400308
23-0007,BR 174 S/N,69345000,CENTRO,PACARAIMA,RR,1400456
23-0008,"AVENIDA FRANCISCO LUIZ REGINATTO, S/N",69373000,PARk AMAZÔNIA,RORAINÓPOLIS,RR,1400472
23-0004,"FORUM ELEITORAL PROM DAIEL DE LIMA JUNIOR - AV ATALIBA G. DE LAIA, S/N",69370000,CENTRO,SÃO LUIZ,RR,1400605
16-0007,"RUA SETE DE SETEMBRO, S/N - 8H ÀS 13H",68440000,SÃO LOURENÇO,ABAETETUBA,PA,1500107
16-0094,"TV. CEZÁRIO ALVES N 501, ESQUINA  COM PA 252 KM 01",68690000,CACOAL,ACARÁ,PA,1500206
16-0016,"PRAÇA ALBERTINO BARAUNA, S/N, 8HAS 14H",68890000,CENTRO,AFUÁ,PA,1500305
16-0021,"RUA VISCONDE DO RIO BRANCO, S/N",68200000,CENTRO,ALENQUER,PA,1500404
16-0055,"RUA SÃO BENEDITO, 1250 - ATENDIMENTO 8 ÀS 13H",68230000,CENTRO,ALMEIRIM,PA,1500503
16-0018,"RUA CORONEL JOSÉ PORFÍRIO, 2008, ESQ. COM TRAV. AGRÁRIO CAVALCANTE",68371030,RECREIO,ALTAMIRA,PA,1500602
16-0090,RUA SILAS PINHEIRO S/N,68810000,CENTRO,ANAJÁS,PA,1500701
16-0043,"RUA JOSÉ MARCELINO DE OLIVEIRA, 692 (PRÓXIMO. AO INISA) - CENTRO",67030160,CENTRO,ANANINDEUA,PA,1500800
16-0072,"CIDADE NOVA II,  WE 16 - EM FRENTE À ESCOLA DR. AGOSTINHO MONTEIRO",67130440,COQUEIRO,ANANINDEUA,PA,1500800
16-0052,"ROD. 454 (BRAGANÇA-AUGUSTO CORREA) KM 8,S/N - 08 ÀS 13 H",68610000,LÍRIO DOS VALES,AUGUSTO CORRÊA,PA,1500909
16-0035,"AV. LEVINDO ROCHA, NUMERO 136, 8H AS 13H",68465000,CENTRO,BAIÃO,PA,1501204
16-0065,"ROD. MOURA CARVALHO, S/N - ESQ. COM A RUA DOZE DE OUTUBRO",68445000,BAIRRO NOVO,BARCARENA,PA,1501303
16-0001,"TRAVESSA PIRAJÁ, S/N- 8H AS 13H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0028,"TRAVESSA PIRAJÁ, S/N - 8H AS 13H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0029,"TRAVESSA PIRAJÁ, S/N - 8H AS 13H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0030,"TRAV. ITABORAÍ, 46 CRUZEIRO ICOARACI",66810030,ICOARACI,BELÉM,PA,1501402
16-0073,"TRAVESSA PIRAJÁ, S/N - 8H AS 13H / CEP-66087-490,",66087490,PEDREIRA,BELÉM,PA,1501402
16-0076,"TRAVESSA PIRAJÁ, S/N - 8H AS 13H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0077,"TRAVESSA PIRAJÁ, S/N",66087490,PEDREIRA,BELÉM,PA,1501402
16-0095,"TRAVESSA PIRAJÁ, S/N - 8H ÀS 13H",66015160,PEDREIRA,BELÉM,PA,1501402
16-0096,"TV PIRAJA, S/N - 8H ÀS 13H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0097,"TRAVESSA PIRAJÁ, S/N - 8H ÀS 14H",66087490,PEDREIRA,BELÉM,PA,1501402
16-0098,"TRAV. PIRAJÁ, S/N  - 8H ÀS 13H",66015160,PEDREIRA,BELÉM,PA,1501402
16-0013,"RUA DOM PEDRO II, 300",68600000,CEREJA,BRAGANÇA,PA,1501709
16-0103,"RUA SANTA LUZIA, 8",68488000,CENTRO,BREU BRANCO,PA,1501782
16-0015,"AV. RIO BRANCO, 439 - 8H ÀS 13H",68800000,CENTRO,BREVES,PA,1501808
16-0002,"PRAÇA DA MATRIZ, S/N (FÓRUM), 8H AS 13H",68840000,CENTRO,CACHOEIRA DO ARARI,PA,1502004
16-0012,"TRAV. DOM ROMUALDO DE SEIXAS, 513",68400000,CENTRAL,CAMETÁ,PA,1502103
16-0025,"TRAVESSA RUI BARBOSA, 171",68700000,CENTRO,CAPANEMA,PA,1502202
16-0070,"TRAVESSA FERNANDO GUILHON, S/N.",68650000,RODOVIARIO,CAPITÃO POÇO,PA,1502301
16-0004,"RUA GILBERTO MENEZES, 35 - 8H ÀS 13H",68740000,CRISTO REDENTOR,CASTANHAL,PA,1502400
16-0017,"AV. INDEPENDÊNCIA, 550 - 8H ÀS 15H",68880000,CENTRO,CHAVES,PA,1502509
16-0024,"RUA DOM SEBASTIÃO THOMAZ, 2994",68540000,CENTRO,CONCEIÇÃO DO ARAGUAIA,PA,1502707
16-0087,"RUA 13 DE MAIO, 483",68685000,CENTRO,CONCÓRDIA DO PARÁ,PA,1502756
16-0058,"AV. SERGIPE, 110 - 8H AS 13 H",68523000,CENTRO,CURIONÓPOLIS,PA,1502772
16-0086,AV JARBAS PASSARINHO S/N,68815000,CENTRO,CURRALINHO,PA,1502806
16-0009,"RUA BENEDITO DE OLIVEIRA, ESQ. RUA GONÇALO FERREIRA - 8H AS 13H",68750000,CENTRO,CURUÇÁ,PA,1502905
16-0084,"RUA GONÇALVES DIAS, S/N, ESPLANADA - 8H AS 13H",68633000,ESPLANADA,DOM ELISEU,PA,1502939
16-0081,"TRAVESSA AGOSTINHO BRASIL, 855, DAS 8H ÀS 13H",68665000,PEDRINHAS,GARRAFÃO DO NORTE,PA,1503077
16-0026,"AVENIDA SANTO ANTONIO, 1290",68300000,CENTRO,GURUPÁ,PA,1503101
16-0005,"AV. MAGALHÃES BARATA, 2110",68725000,CENTRO,IGARAPÉ-AÇU,PA,1503200
16-0006,"RUA DEP. GRACIANO ALMEIDA, N. 10, BAIXA VERDE",68430000,CENTRO,IGARAPÉ-MIRI,PA,1503309
16-0071,"RUA CEL. JOÃO CÂNCIO, 07 - CENTRO (8H AS 13H)",68655000,CENTRO,IRITUIA,PA,1503507
16-0034,"PASSAGEM CLODSON BORGES DO VALE, N. 15",68182320,N S PERPETUO SOCORRO,ITAITUBA,PA,1503606
16-0056,"RUA ALAGOAS, SN ESQ. COM AV GOIÁS - 8H AS 15H",68580000,MUTIRAO,ITUPIRANGA,PA,1503705
16-0102,"AV SANTOS DUMONT, 26",68195000,CENTRO,JACAREACANGA,PA,1503754
16-0069,"RUA PINTO SILVA, 194, 8H AS 14H",68590000,CENTRO,JACUNDÁ,PA,1503804
16-0105,"RUA BELÉM, 106",68170000,BOM PASTOR,JURUTI,PA,1503903
16-0088,"RUA NILO FAYAL,  33",68415000,CENTRO,LIMOEIRO DO AJURU,PA,1504000
16-0049,TV. ALFREDO CHAVES 630 - 8H AS 13H,68675000,CENTRO,MÃE DO RIO,PA,1504059
16-0023,"AV. VP-03, FOLHA 16, QUADRA 36, LOTE 10.",68508970,NOVA MARABÁ,MARABÁ,PA,1504208
16-0100,"AV. VP - 03, FOLHA 16 QUADRA 36 LOTE 10",68511210,NOVA MARABÁ,MARABÁ,PA,1504208
16-0031,"RUA CANTÍDIO GUIMARÃES, S/N",68710000,CENTRO,MARACANÃ,PA,1504307
16-0032,"RODOVIA PA-318, KM 20, S/N, AO LADO DO ESTÁDIO MUNICIPAL",68760000,SANTO ANTÔNIO DO ABACATE,MARAPANIM,PA,1504406
16-0085,"RUA DOZE DE MAIO, 1.045 - CENTRO - ATENDIMENTO AO PÚBLICO DE 8H AS 13H",68145000,CENTRO,MEDICILÂNDIA,PA,1504455
16-0099,RUA MARECHAL RONDON 101,68490000,CENTRO,MELGAÇO,PA,1504505
16-0078,"RUA MANOEL DE SOUSA FURTADO, S/N, 148 - 8H ÀS 13H",68420000,CENTRO,MOCAJUBA,PA,1504604
16-0037,"PRAÇA DO ESTUDANTE, S/N - DE 08H ÀS 13H",68450000,CENTRO,MOJU,PA,1504703
16-0019,"RUA RAIMUNDO JOSÉ DA COSTA, S/N",68220000,SERRA ORIENTAL,MONTE ALEGRE,PA,1504802
16-0010,"RUA CEL MANOEL IZIDRO DA SILVA, S/N - 8H AS 15H",68825000,CENTRO,MUANÁ,PA,1504901
16-0033,"TV ASSIS DE VASCONCELOS, N 1838, 8H AS 13 H",68730000,CENTRO,NOVA TIMBOTEUA,PA,1505007
16-0091,"RUA QUATRO DE ABRIL, 791",68193000,JARDIM PLANALTO,NOVO PROGRESSO,PA,1505031
16-0101,"RUA SABIÁ, QUADRA 22, LOTES 18/19",68473000,PARQUE UIRAPURU,NOVO REPARTIMENTO,PA,1505064
16-0022,"AVENIDA DOM FLORIANO, 348, (ATENDIMENTO, 08H ÀS 13H)",68250000,CENTRO,ÓBIDOS,PA,1505106
16-0045,"RUA GOVERNADOR MAGALHÃES BARATA, 801 - 8H AS 15H",68470000,CENTRO,OEIRAS DO PARÁ,PA,1505205
16-0038,"RUA BARÃO DO RIO BRANCO, 1919 -  8H ÀS 13H",68270000,CENTRO,ORIXIMINÁ,PA,1505304
16-0041,"RUA HERMENEGILDO ALVES, 220 - CENTRO",68640000,CENTRO,OURÉM,PA,1505403
16-0080,"RUA INES SOARES, S/N - 8H AS 13H",68485000,CENTRO,PACAJÁ,PA,1505486
16-0042,"RUA ULISSES GUIMARÃES, S/N",68626380,URAIM II,PARAGOMINAS,PA,1505502
16-0075,RUA RUA D QD 37 LT 26-27,68515000,CIDADE NOVA,PARAUAPEBAS,PA,1505536
16-0106,"RUA D , QD 37 LT 26 E 27  ENTRE AS RUAS 6 E 8 - DAS 0800 AS 1300HS",68515000,CIDADE NOVA,PARAUAPEBAS,PA,1505536
16-0066,"AV. JOAO GOMES PEDROSA, S/N - CENTRO,",68734000,CENTRO,PEIXE-BOI,PA,1505601
16-0027,RODOVIA MANGABEIRA - KM 01 -  HORÁRIO 8H ÀS 13H,68830000,ESTRADA,PONTA DE PEDRAS,PA,1505700
16-0044,"RUA 02 DE FEVEREIRO, SN",68480000,CIDADE NOVA,PORTEL,PA,1505809
16-0082,"RUA SIMPLICIANO FARIAS, 1445 - CARTÓRIO ELEITORAL - 8H AS 14H",68330000,CENTRO,PORTO DE MOZ,PA,1505908
16-0092,"TRAVESSA PAES DE CARVALHO, 481",68130000,CENTRO,PRAINHA,PA,1506005
16-0063,"TV.BARTOLOMEU DOS SANTOS,S/N- SÃO BENEDITO- 8H AS 13 H",68707000,SÃO BENEDITO,PRIMAVERA,PA,1506104
16-0059,"RUA MANOEL VICENTE PEREIRA, QUADRA 22, SN",68552760,PARQUE DOS BURITIS I,REDENÇÃO,PA,1506138
16-0060,"RUA 09, 783 - 8H AS 13H",68530000,CENTRO,RIO MARIA,PA,1506161
16-0051,"PRAÇA DA BANDEIRA, N 70 - 8H AS 13H",68638000,CENTRO,RONDON DO PARÁ,PA,1506187
16-0068,"AV JUSCELINO KUBITSCHECK, 325",68165000,CENTRO,RURÓPOLIS,PA,1506195
16-0064,"AV.  SÃO TOMÉ, S/N - PRAÇA LUIZ BENTES - 08H - 13H",68721000,PONTA D'AGULHA,SALINÓPOLIS,PA,1506203
16-0036,"RUA BARÃO DO RIO BRANCO, 1309",68790000,CENTRO,SANTA ISABEL DO PARÁ,PA,1506500
16-0067,"RUA DA ESTRELA, S/N, ENTRE XAVIER PACHECO E TRAV ESTRELA 8H AS 13H",68738000,CENTRO,SANTA MARIA DO PARÁ,PA,1506609
16-0046,AV JOSÉ MENDONÇA QUADRA 15 LOTE 81,68560000,CENTRO,SANTANA DO ARAGUAIA,PA,1506708
16-0020,"AVENIDA MENDONÇA FURTADO, 2039 -  DAS 8 ÀS 13H",68005100,SANTA CLARA,SANTARÉM,PA,1506807
16-0083,"AV. MENDONÇA FURTADO, 1969 - 8H AS 13H",68005100,SANTA CLARA,SANTARÉM,PA,1506807
16-0104,"AVENIDA MENDONÇA FURTADO, N 2039",68005100,SANTA CLARA,SANTARÉM,PA,1506807
16-0050,"AV. LAURO SODRÉ, S/N - 8H AS 13H",68635000,CENTRO,SÃO DOMINGOS DO CAPIM,PA,1507201
16-0053,"AVENIDA PIAUÍ, QD 239, SETOR 3, LOTE 4",68380000,CENTRO,SÃO FÉLIX DO XINGU,PA,1507300
16-0047,"RUA RICARDO RODRIGUES, 550 - 8H ÀS 13H",68748000,CENTRO,SÃO FRANCISCO DO PARÁ,PA,1507409
16-0062,"RUA MAJOR EDSON-QD 63,SETOR 2",68570000,ALTO BEC,SÃO GERALDO DO ARAGUAIA,PA,1507458
16-0057,AV. LUIS LOPES RIBEIRO S/N - 8H AS 13H,68518000,CENTRO,SÃO JOÃO DO ARAGUAIA,PA,1507508
16-0011,"RUA PADRE SÁTIRO, 231",68660000,SÃO MANOEL,SÃO MIGUEL DO GUAMÁ,PA,1507607
16-0048,"AV. PRESIDENTE VARGAS, 41 (BEIRA MAR)",68820000,CENTRO,SÃO SEBASTIÃO DA BOA VISTA,PA,1507706
16-0054,"TRAV. ABEL FIGUEIREDO, 189 ESQ. DA RUA 13 DE MAIO",68360000,CENTRO,SENADOR JOSÉ PORFÍRIO,PA,1507805
16-0003,6 RUA TRAV. 13 E 14 S/N - ATENDIMENTO 8H ÀS 13H,68870000,CENTRO,SOURE,PA,1507904
16-0093,"AVENIDA BELÉM, S/N, QUADRA 2-A, LOTE 9-A",68695000,SANTA MARIA,TAILÂNDIA,PA,1507953
16-0089,TRAVESSA SANTA TEREZINHA,68285000,CENTRO,TERRA SANTA,PA,1507979
16-0039,"AVENIDA BENIGNO GOES FILHO, S/N (ATENDIMENTO DE 08H ÀS 13H)",68680000,CENTRO,TOMÉ-AÇU,PA,1508001
16-0074,"AV. BELÉM, 301 - 8H ÀS 13H",68385000,SETOR AEROPORTO,TUCUMÃ,PA,1508084
