Tribunal Regional Eleitoral do Ceará;;;;;;;;;;;;
Seções no Estado do Ceará;;;;;;;;;;;;
Não contempla os locais/seções de voto em trânsito. Os quantitativos de eleitores abrangem os eleitores que saíram para votar em trânsito.;;;;;;;;;;;;
Dados sujeitos a alterações - atualizados em  28/10/2014 06:10:27;;;;;;;;;;;;
;;;;;;;;;;;;
Zona;Cod. Município;Município;Cod. Local;Local de Votação;Endereço;Bairro;CEP;Nº da Seção Principal;Qtd. Eleitores Principal;Nºs das Seções Agregadas;Qtd. Eleitores Agregadas;Total Eleitores
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;718;404; ;0;404
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;785;406; ;0;406
1;13897;FORTALEZA;1112;COLEGIO BATISTA SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE 105;ALDEOTA;60150150;803;395; ;0;395
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;103;402; ;0;402
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;104;409; ;0;409
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;105;410; ;0;410
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;106;404; ;0;404
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;107;410; ;0;410
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;108;400; ;0;400
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;109;409; ;0;409
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;110;409; ;0;409
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;559;410; ;0;410
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;708;407; ;0;407
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;747;424; ;0;424
1;13897;FORTALEZA;1198;COLEGIO SANTA CECILIA;AVENIDA SENADOR VIRGÍLIO TÁVORA 2000;DIONISIO TORRES;60170251;811;411; ;0;411
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;136;386; ;0;386
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;137;389; ;0;389
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;138;382; ;0;382
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;139;388; ;0;388
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;140;384; ;0;384
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;141;386; ;0;386
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;142;387; ;0;387
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;143;389; ;0;389
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;144;384; ;0;384
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;145;383; ;0;383
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;146;383; ;0;383
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;577;378; ;0;378
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;590;379; ;0;379
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;607;384; ;0;384
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;632;388; ;0;388
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;770;385; ;0;385
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;799;385; ;0;385
1;13897;FORTALEZA;1287;EEFM ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;60190600;830;382; ;0;382
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;229;404; ;0;404
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;230;400; ;0;400
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;231;401; ;0;401
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;232;401; ;0;401
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;233;404; ;0;404
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;234;402; ;0;402
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;569;400; ;0;400
1;13897;FORTALEZA;1457;NAUTICO ATLETICO CEARENSE;AVENIDA DA ABOLIÇÃO  2727;MEIRELES;60165081;812;400; ;0;400
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;343;424; ;0;424
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;344;434; ;0;434
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;345;428; ;0;428
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;346;425; ;0;425
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;496;434; ;0;434
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;592;429; ;0;429
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;710;424; ;0;424
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;740;434; ;0;434
1;13897;FORTALEZA;1759;E E F MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;60176390;778;428; ;0;428
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;347;398; ;0;398
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;348;394; ;0;394
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;349;395; ;0;395
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;350;394; ;0;394
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;351;397; ;0;397
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;352;398; ;0;398
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;353;396; ;0;396
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;510;397; ;0;397
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;554;396; ;0;396
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;599;390; ;0;390
1;13897;FORTALEZA;1767;E M JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;60165082;628;397; ;0;397
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;354;399; ;0;399
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;355;396; ;0;396
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;356;398; ;0;398
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;520;397; ;0;397
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;761;398; ;0;398
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;816;396; ;0;396
1;13897;FORTALEZA;1783;EEFM DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;60175280;851;397; ;0;397
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;357;398; ;0;398
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;358;399; ;0;399
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;359;394; ;0;394
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;690;399; ;0;399
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;691;396; ;0;396
1;13897;FORTALEZA;1791;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;60165082;825;393; ;0;393
1;13897;FORTALEZA;1872;CLUBE DE ENGENHARIA DO CEARA;AVENIDA ZEZE DIOGO 2076;CAIS DO PORTO;60180000;382;367; ;0;367
1;13897;FORTALEZA;1872;CLUBE DE ENGENHARIA DO CEARA;AVENIDA ZEZE DIOGO 2076;CAIS DO PORTO;60180000;383;368; ;0;368
1;13897;FORTALEZA;1872;CLUBE DE ENGENHARIA DO CEARA;AVENIDA ZEZE DIOGO 2076;CAIS DO PORTO;60180000;384;368; ;0;368
1;13897;FORTALEZA;1872;CLUBE DE ENGENHARIA DO CEARA;AVENIDA ZEZE DIOGO 2076;CAIS DO PORTO;60180000;385;374; ;0;374
1;13897;FORTALEZA;1880;CLUBE DO MEDICO;AVENIDA DIOGUINHO 3355;VICENTE PINZON;60182001;386;392; ;0;392
1;13897;FORTALEZA;1880;CLUBE DO MEDICO;AVENIDA DIOGUINHO 3355;VICENTE PINZON;60182001;387;385; ;0;385
1;13897;FORTALEZA;1880;CLUBE DO MEDICO;AVENIDA DIOGUINHO 3355;VICENTE PINZON;60182001;388;384; ;0;384
1;13897;FORTALEZA;1880;CLUBE DO MEDICO;AVENIDA DIOGUINHO 3355;VICENTE PINZON;60182001;389;390; ;0;390
1;13897;FORTALEZA;1880;CLUBE DO MEDICO;AVENIDA DIOGUINHO 3355;VICENTE PINZON;60182001;866;181; ;0;181
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;391;400; ;0;400
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;392;396; ;0;396
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;393;399; ;0;399
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;394;401; ;0;401
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;395;397; ;0;397
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;546;392; ;0;392
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;662;393; ;0;393
1;13897;FORTALEZA;1899;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;60182185;717;401; ;0;401
1;13897;FORTALEZA;1902;ESCOLA MUNICIPAL SAO VICENTE DE PAULO;AVENIDA ZEZE DIOGO 1247;CAIS DO PORTO;60180000;396;395; ;0;395
1;13897;FORTALEZA;1902;ESCOLA MUNICIPAL SAO VICENTE DE PAULO;AVENIDA ZEZE DIOGO 1247;CAIS DO PORTO;60180000;397;396; ;0;396
1;13897;FORTALEZA;1902;ESCOLA MUNICIPAL SAO VICENTE DE PAULO;AVENIDA ZEZE DIOGO 1247;CAIS DO PORTO;60180000;398;395; ;0;395
1;13897;FORTALEZA;1902;ESCOLA MUNICIPAL SAO VICENTE DE PAULO;AVENIDA ZEZE DIOGO 1247;CAIS DO PORTO;60180000;399;394; ;0;394
1;13897;FORTALEZA;1902;ESCOLA MUNICIPAL SAO VICENTE DE PAULO;AVENIDA ZEZE DIOGO 1247;CAIS DO PORTO;60180000;400;391; ;0;391
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;50;396; ;0;396
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;461;397; ;0;397
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;462;391; ;0;391
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;463;396; ;0;396
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;464;392; ;0;392
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;465;391; ;0;391
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;466;399; ;0;399
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;467;395; ;0;395
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;498;396; ;0;396
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;641;396; ;0;396
1;13897;FORTALEZA;2046;EEFM  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;60175100;642;395; ;0;395
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;459;397; ;0;397
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;460;397; ;0;397
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;468;395; ;0;395
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;469;398; ;0;398
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;470;398; ;0;398
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;471;397; ;0;397
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;581;394; ;0;394
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;639;398; ;0;398
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;650;401; ;0;401
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;779;398; ;0;398
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;801;399; ;0;399
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;829;401; ;0;401
1;13897;FORTALEZA;2054;EEFM MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;60175055;852;400; ;0;400
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;336;402; ;0;402
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;337;401; ;0;401
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;472;402; ;0;402
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;473;403; ;0;403
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;474;402; ;0;402
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;475;401; ;0;401
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;476;399; ;0;399
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;477;399; ;0;399
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;478;399; ;0;399
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;513;399; ;0;399
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;526;399; ;0;399
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;567;402; ;0;402
1;13897;FORTALEZA;2062;EEFM PADRE JOSE NILSON;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;60175270;824;401; ;0;401
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;516;424; ;0;424
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;613;422; ;0;422
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;638;423; ;0;423
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;668;421; ;0;421
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;679;421; ;0;421
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;757;422; ;0;422
1;13897;FORTALEZA;2305;E E F MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;60181190;807;423; ;0;423
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;338;401; ;0;401
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;339;397; ;0;397
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;340;401; ;0;401
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;341;398; ;0;398
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;342;398; ;0;398
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;488;398; ;0;398
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;572;398; ;0;398
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;623;400; ;0;400
1;13897;FORTALEZA;2313;EEF MAESTRO ELIAZAR DE CARVALHO;RUA FRANCISCO ALVES PEREIRA  349;CAIS DO PORTO;60180720;653;395; ;0;395
